age,gender,state,prescribe_levothyroxine,prescribe_liothyronine,prescribe_thyroid_usp
50 - 64,Female,Texas,88.51595574521022,2.8588092476554765,8.625235007134302
50 - 64,Female,Utah,81.8960244804731,3.5291823722463915,14.574793147280515
50 - 64,Female,Vermont,93.52332852146701,2.4286386610075006,4.048032817525489
50 - 64,Female,Virginia,88.51595574521022,2.8588092476554765,8.625235007134302
50 - 64,Female,Washington,81.8960244804731,3.5291823722463915,14.574793147280515
50 - 64,Female,West Virginia,88.51595574521022,2.8588092476554765,8.625235007134302
50 - 64,Female,Wisconsin,90.84482070996958,1.0960865160001212,8.059092774030313
50 - 64,Female,Wyoming,81.8960244804731,3.5291823722463915,14.574793147280515
50 - 64,Male,Alabama,93.38707922741834,4.523937504798367,2.0889832677832962
50 - 64,Male,Alaska,94.92837944753934,2.91410325489757,2.1575172975630883
50 - 64,Male,Arizona,94.92837944753934,2.91410325489757,2.1575172975630883
50 - 64,Male,Arkansas,93.38707922741834,4.523937504798367,2.0889832677832962
50 - 64,Male,California,94.92837944753934,2.91410325489757,2.1575172975630883
50 - 64,Male,Colorado,94.92837944753934,2.91410325489757,2.1575172975630883
50 - 64,Male,Connecticut,100.0,,
50 - 64,Male,Delaware,93.38707922741834,4.523937504798367,2.0889832677832962
50 - 64,Male,District of Columbia,93.38707922741834,4.523937504798367,2.0889832677832962
50 - 64,Male,Florida,93.38707922741834,4.523937504798367,2.0889832677832962
50 - 64,Male,Georgia,93.38707922741834,4.523937504798367,2.0889832677832962
50 - 64,Male,Hawaii,94.92837944753934,2.91410325489757,2.1575172975630883
50 - 64,Male,Idaho,94.92837944753934,2.91410325489757,2.1575172975630883
50 - 64,Male,Illinois,100.0,,
50 - 64,Male,Indiana,100.0,,
50 - 64,Male,Iowa,100.0,,
50 - 64,Male,Kansas,100.0,,
50 - 64,Male,Kentucky,93.38707922741834,4.523937504798367,2.0889832677832962
50 - 64,Male,Louisiana,93.38707922741834,4.523937504798367,2.0889832677832962
50 - 64,Male,Maine,100.0,,
50 - 64,Male,Maryland,93.38707922741834,4.523937504798367,2.0889832677832962
50 - 64,Male,Massachusetts,100.0,,
50 - 64,Male,Michigan,100.0,,
50 - 64,Male,Minnesota,100.0,,
50 - 64,Male,Mississippi,93.38707922741834,4.523937504798367,2.0889832677832962
50 - 64,Male,Missouri,100.0,,
50 - 64,Male,Montana,94.92837944753934,2.91410325489757,2.1575172975630883
50 - 64,Male,Nebraska,100.0,,
50 - 64,Male,Nevada,94.92837944753934,2.91410325489757,2.1575172975630883
50 - 64,Male,New Hampshire,100.0,,
50 - 64,Male,New Jersey,100.0,,
50 - 64,Male,New Mexico,94.92837944753934,2.91410325489757,2.1575172975630883
50 - 64,Male,New York,100.0,,
50 - 64,Male,North Carolina,93.38707922741834,4.523937504798367,2.0889832677832962
50 - 64,Male,North Dakota,100.0,,
50 - 64,Male,Ohio,100.0,,
50 - 64,Male,Oklahoma,93.38707922741834,4.523937504798367,2.0889832677832962
50 - 64,Male,Oregon,94.92837944753934,2.91410325489757,2.1575172975630883
50 - 64,Male,Pennsylvania,100.0,,
50 - 64,Male,Rhode Island,100.0,,
50 - 64,Male,South Carolina,93.38707922741834,4.523937504798367,2.0889832677832962
50 - 64,Male,South Dakota,100.0,,
50 - 64,Male,Tennessee,93.38707922741834,4.523937504798367,2.0889832677832962
50 - 64,Male,Texas,93.38707922741834,4.523937504798367,2.0889832677832962
50 - 64,Male,Utah,94.92837944753934,2.91410325489757,2.1575172975630883
50 - 64,Male,Vermont,100.0,,
50 - 64,Male,Virginia,93.38707922741834,4.523937504798367,2.0889832677832962
50 - 64,Male,Washington,94.92837944753934,2.91410325489757,2.1575172975630883
50 - 64,Male,West Virginia,93.38707922741834,4.523937504798367,2.0889832677832962
50 - 64,Male,Wisconsin,100.0,,
50 - 64,Male,Wyoming,94.92837944753934,2.91410325489757,2.1575172975630883
65 and up,Female,Alabama,95.25743236671688,1.392662140020352,3.3499054932627574
65 and up,Female,Alaska,90.5035345417591,6.356563781615677,3.1399016766252217
65 and up,Female,Arizona,90.5035345417591,6.356563781615677,3.1399016766252217
65 and up,Female,Arkansas,95.25743236671688,1.392662140020352,3.3499054932627574
65 and up,Female,California,90.5035345417591,6.356563781615677,3.1399016766252217
65 and up,Female,Colorado,90.5035345417591,6.356563781615677,3.1399016766252217
65 and up,Female,Connecticut,95.44651408992132,2.087964725615501,2.465521184463188
